Date,Source,Time,Titles,gists,link,labels
2020-09-08,Republic TV,10:49:32.978993,['Sushant Death Probe LIVE Updates: Rhea Chakraborty Reaches NCB To Be Grilled For 3rd Day'],"['# BREAKING | Rhea Chakraborty reaches NCB office to face 3rd straight day of interrogation .', ""Tune in for # LIVE updates here - https : //t.co/RZHKU3fdmK pic.twitter.com/49NOoceEHR In the latest development , sources have informed Republic TV that Sushant 's friend Samuel Haokip reached the CBI 's DRDO guest house on Tuesday ."", '# BREAKING | Rhea Chakraborty leaves for NCB office to face interrogation for 3rd day .']",https://www.republicworld.com/entertainment-news/bollywood-news/sushant-singh-rajput-death-probe-live-updates-rhea-summoned-again-cbi.html,['Sushant Death Probe LIVE Updates: Rhea Chakraborty Reaches NCB']
2020-09-08,Republic TV,10:49:33.785339,['Coronavirus LIVE Updates: India Overtakes Brazil With 42 Lakh Cases Test Tally At 4.95 Cr'],"['Chhattisgarh recorded 2,017 new COVID-19 cases , 979 recoveries and 15 deaths yesterday , taking total cases to 47,280 including 22,177 recoveries , 395 deaths and 24,708 active cases : State Health Department A total of 5,06,50,128 samples tested up to 7th September 2020 .', 'Of these , 10,98,621 samples were tested yesterday : Indian Council of Medical Research ( ICMR ) Single-day spike of 75,809 new # COVID19 cases & 1,133 deaths reported in India , in the last 24 hours .', 'The total case tally stands at 42,80,423 including 8,83,697 active cases , 33,23,951 cured/discharged/migrated & 72,775 deaths : Ministry of Health Mizoram reported nine COVID-19 cases yesterday , taking total cases to 1,123 including 732 discharges and 391 active cases .']",https://www.republicworld.com/india-news/general-news/coronavirus-in-india-live-updates-covid-19-latest-news-lockdown.html,"['India', '42', 'Lakh Cases', 'Test Tally', '4.95']"
2020-09-08,Republic TV,10:49:34.322720,"[""Subramanian Swamy Questions EAM Jaishankar's Scheduled Meeting With Chinese FM In Moscow""]","['Amid the standoff at the LAC in Eastern Ladakh with China , External Affairs Minister S Jaishankar on Tuesday will embark on his four-day visit to Russia , where he is expected to hold a bilateral meeting with his Chinese counterpart Wang Yi .', 'Senior BJP leader and Rajya Sabha MP Dr Subramanian Swamy objecting to the meet asked that why does the Foreign Minister have to meet his Chinese counterpart especially after the Defence Ministers have met ?', ""Taking to Twitter , the Rajya Sabha MP stated that New Delhi has no foreign policy issues to settle since May 5 , 2020 , and therefore `` PM Modi must ask the External Affairs Minister to cancel his trip as it dilutes our resolve . ''""]",https://www.republicworld.com/india-news/politics/subramanian-swamy-questions-eam-jaishankars-scheduled-meeting-with-ch.html,"['Subramanian Swamy', 'Chinese', 'Moscow']"
2020-09-08,Republic TV,10:49:34.654706,"[""Kangana Ranaut Gets Legal Notice For 'defaming' Mumbai CP; Sena IT Cell Files Complaint""]","['In the notice , the retired police officer recalled how Kangana had accused Mumbai Police of ‘ intimidating ’ , ‘ encouraging public teasing ’ , ‘ bullying ’ and ‘ crime ’ and ‘ trying to prove victim a criminal. ’ Kangana had expressed her displeasure over the tweet on September 1 .', 'pic.twitter.com/9H4mhC9Nsk Meanwhile , another complaint has been filed against Kangana , seeking a First Information Report against her on ‘ charges of sedition for her Pakistan-occupied Kashmir analogy for Mumbai. ’ The complaint has been filed by the Shiv Sena IT cell in Thane .', 'Tune in today to stay updated with all the latest news and headlines from the world of entertainment .']",https://www.republicworld.com/entertainment-news/bollywood-news/kangana-ranaut-sent-legal-notice-for-defaming-mumbai-cp-sena-it-cell.html,"['Kangana Ranaut', 'Mumbai', 'Sena']"
2020-09-08,Republic TV,10:49:34.901180,"[""Shiv Sena Wants FIR Against Kangana Ranaut Under Sedition Charges For 'Mumbai-PoK' Remark""]","[""A day ahead of actor Kangana Ranaut 's return to Mumbai , Shiv Sena 's IT cell has filed a complaint against her seeking an FIR under 'charges of sedition ' for comparing Mumbai to Pakistan-occupied Kashmir ( PoK ) ."", ""Ruling party Shiv Sena 's IT cell has filed a complaint in Shrinagar Police station in Maharashtra 's Thane ."", ""Ranaut stoked a controversy after comparing Mumbai to 'PoK ' and 'Taliban ' , in a rebuttal to Sena 's 'open threat ' to her as she questioned the Maharashtra government and Mumbai Police .""]",https://www.republicworld.com/india-news/law-and-order/shiv-sena-wants-fir-against-kangana-ranaut-under-sedition-charges.html,['Remark']
2020-09-08,Republic TV,10:49:35.461823,['Shiv Sena Appoints Sanjay Raut As Chief Spokesperson Of Party Amid Faceoff With Kangana'],"[""In a major decision , Shiv Sena has appointed its Rajya Sabha MP Sanjay Raut as the party 's chief spokesperson ."", 'Alongside Raut , 10 other leaders have been appointed as the spokesperson of the party .', 'They are Arvind Sawant , Dhairyasheel Sambhajirao Mane , Priyanka Chaturvedi , Neelam Gorhe , Gulab Raghunath Patil , Anil Parab , Uday Samant , Pratap Sarnaik , Kishori Pednekar , Sunil Prabhu .']",https://www.republicworld.com/india-news/politics/shiv-sena-appoints-sanjay-raut-as-chief-spokesperson.html,"['Sena Appoints', 'Sanjay Raut', 'Spokesperson Of']"
2020-09-08,Republic TV,10:49:35.909394,"[""Sanjay Singh Slams Bihar BJP Over SSR's Posters For 'votes', Says His Film Was Protested""]","['Aam Aadmi Party ( AAP ) leader Sanjay Singh on Tuesday , September 8 , slammed the BJP in Bihar for using posters and stickers of late actor Sushant Singh Rajput to attract vote bank ahead of the polls .', ""Singh alleged that when Sushant was alive , the BJP protested against his film Kedarnath's release and now after his death , they are using his posters to get votes ."", ""`` Neither have forgotten nor will anyone forget '' as long as Sushant Singh Rajput was alive , these same BJP members had come out on the streets to protest against his film Kedarnath , now they are busy gaining vote after his death , Singh stated in his tweet which was roughly translated from Hindi .""]",https://www.republicworld.com/india-news/politics/sanjay-singh-slams-bihar-bjp-for-using-sushants-posters-for-votes.html,"['Sanjay Singh Slams Bihar', 'SSR']"
2020-09-08,Republic TV,10:49:36.310996,['RLD Stages Protest Against Farm Ordinances'],"['RLD national spokesman Inderjit Singh alleged that if the ordinances would come into force , farmers would not be able to get right price for their crops .', ""The ordinances seek to provide barrier-free trade for farmers ' produce outside notified farm mandis , and empower farmers to enter into farming agreements with private players prior to production for sale of agri-produce ."", 'He also claimed that big business houses would purchase the crops and store the grains , vegetables and fruits in their warehouses , as farmers do not have adequate storage facilities , which will lead to black marketing .']",https://www.republicworld.com/india-news/politics/rld-stages-protest-against-farm-ordinances.html,['RLD']
2020-09-08,Republic TV,10:49:36.818528,"[""Ashok Gehlot Seeks PM Modi's Intervention Over GST Compensation To States""]","['Chief Minister Ashok Gehlot on Monday urged the Centre to fulfil the promises made to the state governments while implementing GST and leave it to them to have the right to some taxes levied by the Centre .', ""He demanded Prime Minister Narendra Modi to intervene in the matter `` to maintain confidence in the financial relations between the Centre and states '' ."", 'In a letter to the prime minister , Gehlot has drawn attention to the difficulties faced by states in the payment of GST compensation , an official statement said .']",https://www.republicworld.com/india-news/politics/ashok-gehlot-seeks-pm-modis-intervention-over-gst-compensation-to-sta.html,['Ashok Gehlot']
2020-09-08,Republic TV,10:49:37.213456,['COVID-19 Menace Can Only Be Tackled With Active Support Of People: Rajasthan Health Minister'],"['“ Till now , no vaccine for coronavirus has been found .', 'Rajasthan Health Minister Raghu Sharma on Monday said the government is making all possible efforts to prevent the spread of coronavirus , but the menace can be tackled effectively with the support of people .', 'So far , around 41 lakh people have been infected by the disease in the country , ” he said in a statement .']",https://www.republicworld.com/india-news/politics/covid-19-menace-can-only-be-tackled-with-active-support-of-people-raj.html,[]
